Company,Notes,Position,Date,Status,Job Code,Posting,Contact,
Zenimax / Bethesda,Nice easy application,Senior Server Programmer,1/14/2025,Applied,2024-3161,https://careers-zenimax.icims.com/r.jsp?p=3161,,
Idaho National Lab,,MSIPP Postdoctoral Research Associate - Computational Materials,1/14/2025,Denied,21985,https://inl.taleo.net/careersection/application.jss?lang=en&type=1&action=view&csNo=10060&portal=8110010144&reqNo=33763&isOnLogoutPage=true,,
Idaho National Lab,,Cybersecurity Researcher,1/14/2025,Applied,22294,https://inl.taleo.net/careersection/application.jss?lang=en&type=1&action=view&csNo=10060&portal=8110010144&reqNo=36309&isOnLogoutPage=true,,
GitHub,,Software Engineer II,1/14/2025,Applied,,https://githubinc.jibeapply.com/jobs/3869?iis=Job+Board&iisn=LinkedIn&lever-source=LinkedinPosting&lang=en-us,,
Idaho National Lab,,Post-bach year of work,1/14/2025,Interview,,,,
Unknown Worlds,,General Application,1/15/2025,Applied,,https://boards.greenhouse.io/unknownworlds/jobs/7535230002,,
Dept. of the Air Force,,Computer Scientist,1/15/2025,Applied,AFMC-1550-12-12582598-MRA,https://www.usajobs.gov/job/815142900,,
NASA / Goddard,,"Computer Engineer, AST, Data Systems",1/15/2025,Cancelled,GSFC-25-IMP-12654803-BP,https://www.usajobs.gov/job/826136300,,
Rocket Lab,,Spacecraft Systems Engineer I/II,1/16/2025,Denied,4944900003 ,https://www.rocketlabusa.com/careers/positions/spacecraft-systems-engineer-iii-littleton-colorado-united-states-5975592003/,,
Rocket Lab,,Spacecraft Systems Engineer I/II,11/22/2024,Denied,,,,
Agile Space Industries,1-200 Employees,Systems Engineer I,1/16/2025,Applied,42525618,https://jobs.spacetalent.org/companies/agile-space/jobs/42525618-systems-engineer-i#content,,
ABL Space Systems,California :/,General Engineering Application,1/16/2025,Applied,,https://jobs.lever.co/ablspacesystems/2d6b174f-2344-48e1-ba53-5212db60e418?gh_src=SpaceTalent+job+board,,
ABL Space Systems,California :/,General Application,1/16/2025,Applied,,https://jobs.spacetalent.org/companies/abl-space-systems/jobs/8028868-general-application-abl-space-systems#content,,
Astra,,Staff Front-End Engineer,1/16/2025,Applied,,https://ats.rippling.com/astra/jobs/0c6ff6c6-8ae6-4804-88d8-b3f7eb11a5ac?gh_src=SpaceTalent+job+board,,
Astra,,Senior Staff Python Engineer,1/16/2025,Applied,,https://jobs.spacetalent.org/companies/astra-com/jobs/44491731-senior-staff-python-engineer#content,,
SpaceX,,Software Engineer (Dynamics),1/16/2025,Denied,,https://boards.greenhouse.io/spacex/jobs/7795736002?gh_src=SpaceTalent+job+board,,
SpaceX,,Avionics Systems Engineer (Starship),1/16/2025,Denied,,https://boards.greenhouse.io/spacex/jobs/7582867002?gh_src=SpaceTalent+job+board#app,,
SpaceX,,Factory Software Engineer (Starlink),1/16/2025,Denied,,https://boards.greenhouse.io/spacex/jobs/7650187002?gh_src=SpaceTalent+job+board,,
SpaceX,,"Software Engineer, C++ (Nondestructive Evaluation)",1/16/2025,Denied,,https://boards.greenhouse.io/spacex/jobs/7692130002?gh_jid=7692130002,,
SpaceX,California ,"Software Engineer, Flight Software (Starship)",1/16/2025,Denied,,https://boards.greenhouse.io/spacex/jobs/7682650002?gh_jid=7682650002,,
SpaceX,Starbase,"Software Engineer, Flight Software (Starship)",1/16/2025,Denied,,https://boards.greenhouse.io/spacex/jobs/7682656002?gh_jid=7682656002,,
Oxford Global Resources,Contractor,Flight Controls Systems Engineer,1/16/2025,Applied,,https://www.ziprecruiter.com/jobs/oxford-global-resources-6e22863f/flight-controls-systems-engineer-c87582d1?lvk=BqCPOS9KfhtH6ecEaalliw.--NU0Wi2e_c,,
Skyworks,Analog Semiconductors,Rust Software Engineer ,1/16/2025,Applied,74008,,,
AMD,,Firmware Engineer,1/16/2025,Applied,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3998898381&start=48,,
Lockheed Martin,,Cyber Software Engineer (Embedded),1/16/2025,Denied,,https://sjobs.brassring.com/TGnewUI/ApplyWithPreLoad?partnerid=25037&siteid=5010&bruid=%5EWRznS%2FVTn4rCT1J4%2B5iLK4Pyz%2BweI20JpxdUaoqtkHw%3D&reqid=778205&localeid=&tqid=320&aipid=0&pageid=0&noback=&fromSM=true&ShowNewPolicy=False&wftype=4#applicationDetail,,
Variant 3D,,Computational Geometry Developer,1/16/2025,Denied,,https://www.linkedin.com/jobs/view/4104147354/?alternateChannel=search&refId=%2FH7Qh9b8QKqhLXcgalLDFw%3D%3D&trackingId=E7tYZ5RzS6NAkeG9sDFV%2Fw%3D%3D,,
GE Aerospace,,Avionics Embedded Software Engineer - FLRAA,1/16/2025,Applied,,https://geaerospace.wd5.myworkdayjobs.com/en-US/GE_ExternalSite/job/Avionics-Embedded-Software-Engineer---FLRAA_R5000174-2,,
BAE Systems,,DSP Software Engineer,1/17/2025,Denied,Id107511BR,https://jobs.baesystems.com/global/en/job/BAE1US107511BREXTERNAL/DSP-Software-Engineer,,
Oak Ridge National Lab,,Signal Processing Engineer,1/17/2025,Applied,14120 ,https://jobs.ornl.gov/job/Oak-Ridge-Signal-Processing-Engineer-TN-37830/1235462200/,,
METECS / NASA Contract,,Flight Software Engineer,1/17/2025,Applied,,https://www.linkedin.com/jobs/view/4083484426/?alternateChannel=search&refId=CXz%2BhQZAgOfVnnZazFLP6Q%3D%3D&trackingId=nWK4XksvCXdmJu%2FjIQKh4Q%3D%3D,,
American Systems,Tryhard application,Software Developer II,1/17/2025,Applied,24525,https://americansystems.hua.hrsmart.com/hr/ats/Posting/view/24525,,
General Atomics,,Embedded Software Engineer,1/30/2025,Applied,47754BR,https://sjobs.brassring.com/TGnewUI/ApplyWithPreLoad?partnerid=25539&siteid=5313&bruid=^yv4oJpo%2BxdbeQXSgmaldHgZNHCIjrp8Vf%2B8GQa3pXLI%3D&reqid=5059895&localeid=&tqid=2919&aipid=0&pageid=0&noback=&fromSM=true&ShowNewPolicy=False&wftype=-1#applicationDetail,,
General Atomics,Entry Level,Software Developer,1/30/2025,Applied,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25539&siteid=5313&jobId=5047196&codes=ILNK#jobDetails=5047196_5313,,
Impulse Space,,RF Embedded Software Engineer,1/30/2025,Applied,,https://impulsespace.pinpointhq.com/en/postings/24a0b025-1088-4a3b-9803-4b3baa0f6f3b,,
Impulse Space,,Expression of Interest,1/30/2025,Applied,,https://www.impulsespace.com/careers,,
CoreAVI,Texas / Remote,Vulkan Graphics Engineer,1/30/2025,Applied,,https://coreavi.bamboohr.com/careers/153,,
METECS / NASA Contract,Houston / JSC,Simulation Software Developer,1/30/2025,Applied,,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4136867308&discover=recommended&discoveryOrigin=MAIN_FEED_JYMBII&originToLandingJobPostings=4138678939%2C4139235467%2C4136200458%2C4138263608%2C4136867308,,
METECS / NASA Contract,Houston / JSC,Flight Software Developer,1/30/2025,Applied,,https://www.linkedin.com/jobs/search/?currentJobId=4136864926&f_C=2286566&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=4136864926%2C4136867308%2C4125126402%2C4046063116%2C4023498100&trk=d_flagship3_company_posts,,
Lockheed Martin,,Software Engineer - Skunk Works - Level 2,1/30/2025,Denied,,https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25037&siteid=5010&jobId=782185#jobDetails=782185_5010,,
Oak Ridge National Lab,,Research Associate,2/3/2025,Applied,14487,https://career-hcm20.ns2cloud.com/portalcareer?_s.crb=nEefdpQTKG3KIDQu6aIDDsWN8%252bxKv3%252bpMtLAWeP1yhU%253d,,
Oak Ridge National Lab,"PhD, but it is bioinformatics",Computational Scientist,2/3/2025,Denied,14462,https://jobs.ornl.gov/job/Oak-Ridge-Computational-Scientist-TN-37830/1255985300/,,
Oak Ridge National Lab,,Data Engineer,2/3/2025,Applied,14485,https://career-hcm20.ns2cloud.com/portalcareer?company=utbattelleP&correlation_Id=83517800200&lang=en_US&clientId=jobs2web&socialApply=false&career_ns=job_application&site=&career_job_req_id=14485&jobPipeline=Email+Subscription&isInternalUser=false&showAlertCreated=false&_s.crb=nEefdpQTKG3KIDQu6aIDDsWN8%252bxKv3%252bpMtLAWeP1yhU%253d,,
UTSW Nlab,,Researcher,02/10/25,Applied,,Emailed,,
Idaho National Lab,,Software Developer,02/11/25,Applied,,,,
Idaho National Lab,,Software Engineer,02/11/25,Applied,,,,
Palantir,,Software Engineer – US GOV,02/11/25,Applied,,,,
Westinghouse Nuclear,,Software Engineer,02/12/25,Applied,21955,https://career4.successfactors.com/portalcareer?_s.crb=ywwOv%252bWYrjAKymARsVgCkBt%252fx3qIUDeNoAc%252b4rSgDZM%253d,,
Westinghouse Nuclear,,IT – Software Engineers – 2025 Grads,02/12/25,Applied,20688,https://career4.successfactors.com/portalcareer?_s.crb=ywwOv%252bWYrjAKymARsVgCkBt%252fx3qIUDeNoAc%252b4rSgDZM%253d,,
Palo Alto Networks,"Record time denial, but my background is still “Impressive”",Software Engineer ,02/12/25,Denied,,https://jobs.paloaltonetworks.com/en/job/santa-clara/software-engineer-endpoint-dlp-sase/47263/76456442384,,
ZedaSoft,"Fort Worth, Graphics",Software Engineer,02/12/25,Applied,,Emailed,,
ID Software,,Game Dev Automation & Stability Engineer,02/12/25,Applied,,https://careers-zenimax.icims.com/jobs/3085/game-development-automation-%26-stability-engineer/job?mode=submit_apply,,
Texas Instruments,,Mixed Signal Processing and AI Research Engineer,02/12/25,Applied,240001AL,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/my-profile/preview/240001AL,,
Texas Instruments,,Career Accelerator Program – Applications Engineer,02/12/25,Applied,,,,
IBM,,Entry Level Software Developer,02/12/25,Interview – coding assessment,724127BR,https://krb-sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=26059&siteid=5016&jobid=758329&codes=WEB_Search_NA#jobDetails=758329_5016,,
Idaho National Lab,Pretty sure I already interviewed :/,Digital Trin Research Scientist – Entry Level,02/13/25,Applied,22515,,,
